Turin2019 PG2-SARAH2,Turin2019 PG2-ERA5,Turin2019 PG3-SARAH3,Turin2019 PG3-ERA5,Turin2020 PG2-SARAH2,Turin2020 PG2-ERA5,Turin2020 PG3-SARAH3,Turin2020 PG3-ERA5,Turin2019 RN-MERRA2,Turin2020 RN-MERRA2,Turin2019 PV-MEAS,Turin2020 PV-MEAS
0.56987,0.5515599999999999,0.56424,0.54446,0.55435,0.5260199999999999,0.5521699999999999,0.52466,0.487,0.544,0.45015835972662077,0.42672841548130996
0.58085,0.54969,0.57737,0.54567,0.57566,0.53225,0.5782999999999999,0.529,0.507,0.539,0.4719953325554257,0.42672841548130996
0.56655,0.49486,0.55608,0.48905,0.5505099999999999,0.47952,0.5552999999999999,0.47387,0.473,0.474,0.44940823470578417,0.42011247105524313
0.47564,0.36937000000000003,0.4567,0.36237,0.45825,0.35266000000000003,0.45541000000000004,0.34461,0.335,0.328,0.32205367561260145,0.31094938802514055
0.28158,0.16571,0.25423,0.15594,0.29962,0.15317,0.23538,0.14331,0.109,0.099,0.17177862977162825,0.16705259675818723
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034839139856642776,0.016539861065167052
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.00359,0.0,0.00396,0.0,0.0034500000000000004,0.0,0.00385,0.043,0.028,0.0,0.0
0.14068,0.19038,0.14465,0.19241999999999998,0.11231999999999999,0.18209,0.12179999999999999,0.18371,0.234,0.192,0.02542090348391398,0.008269930532583526
0.35246,0.35364999999999996,0.35189,0.35354,0.32433,0.36214999999999997,0.32443,0.35675,0.394,0.329,0.18469744957492887,0.11743301356268607
0.49845999999999996,0.48807,0.4873,0.48919999999999997,0.43803,0.48367,0.46793,0.47958,0.5,0.407,0.3643107184530749,0.2844856103208733
0.5669,0.53092,0.5663400000000001,0.5341,0.51281,0.54495,0.55526,0.54075,0.552,0.431,0.46432738789798267,0.3919947072444591
0.59024,0.55331,0.5811000000000001,0.54949,0.5738300000000001,0.55196,0.58292,0.54626,0.549,0.409,0.4835805967661265,0.4217664571617598
0.55461,0.49712,0.5499700000000001,0.49202999999999997,0.55729,0.49663999999999997,0.5605800000000001,0.48719,0.485,0.348,0.4648274712452069,0.40357260999007605
0.46327999999999997,0.37382,0.45525,0.36579,0.4681,0.36519999999999997,0.44980000000000003,0.35716000000000003,0.345,0.219,0.3377229538256369,0.2811776381078399
0.29762,0.16823,0.25229,0.1586,0.29672000000000004,0.15972999999999998,0.24786000000000002,0.15072,0.113,0.05,0.18528088014669084,0.13893483294740325
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03967327887981329,0.016539861065167052
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.00354,0.0,0.00391,0.0,0.00607,0.0,0.0061600000000000005,0.039,0.0,0.0,0.0
0.14025,0.18444,0.14034,0.18708000000000002,0.039119999999999995,0.0712,0.04319,0.06448000000000001,0.225,0.043,0.024754125687614596,0.0
0.3508,0.36477,0.34752999999999995,0.36552999999999997,0.33463,0.21605000000000002,0.30207999999999996,0.19194999999999998,0.387,0.199,0.18528088014669084,0.02315580549123387
0.48856,0.48312,0.47685,0.48238,0.50118,0.42299000000000003,0.48521,0.39261,0.497,0.4,0.3635605934322381,0.16374462454515382
0.5621,0.5422899999999999,0.5555800000000001,0.5399400000000001,0.55736,0.52687,0.56484,0.51095,0.551,0.476,0.46082680446741114,0.3671849156467086
0.59529,0.54901,0.58427,0.5452400000000001,0.59285,0.51474,0.59424,0.50329,0.548,0.507,0.4734955825970992,0.42672841548130996
0.56841,0.49474,0.55295,0.48935,0.54389,0.47888,0.5522999999999999,0.47558999999999996,0.48,0.46,0.46057676279379833,0.4101885544161429
0.4829,0.36795,0.46361,0.3605,0.4715,0.36063999999999996,0.45415,0.34451,0.333,0.314,0.34764127354559027,0.2894475686404234
0.31151,0.16872,0.27596,0.15813999999999998,0.29624,0.15866999999999998,0.25769,0.14983000000000002,0.102,0.087,0.18219703283880626,0.1538207079060536
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03783963993999,0.011577902745616936
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.334722453742292e-05,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.00571,0.0,0.005679999999999999,0.0,0.0037,0.0,0.00404,0.013,0.035,0.0,0.0
0.07851000000000001,0.16695,0.07984000000000001,0.14323,0.09887,0.18274,0.11833,0.18313,0.05,0.225,0.01541923653942321,0.0
0.25155,0.31567,0.26055,0.28663,0.29602,0.36591,0.26932,0.3664,0.107,0.393,0.06717786297716279,0.10254713860403572
0.45938,0.33275,0.45227,0.32017,0.42129,0.48482,0.44359,0.48369,0.321,0.503,0.19511585264210665,0.3291432351968243
0.51452,0.38330000000000003,0.43082,0.35378,0.5149,0.54674,0.54461,0.5440499999999999,0.479,0.556,0.34580763460576697,0.42507442937479323
0.6176799999999999,0.3649,0.59178,0.33681,0.57008,0.55162,0.55659,0.54725,0.236,0.547,0.2517086181030168,0.42672841548130996
0.5869800000000001,0.34806,0.57937,0.34582999999999997,0.58161,0.49432,0.55302,0.4904,0.083,0.476,0.2504584097349555,0.39695666556400927
0.29919,0.30228,0.30986,0.28593999999999997,0.47046,0.36915,0.45976,0.36216000000000004,0.034,0.318,0.3170528421403561,0.2877935825339067
0.31105,0.17405,0.26073,0.15793000000000001,0.31142000000000003,0.17009,0.26204,0.15732,0.001,0.083,0.1426904484080679,0.14058881905391996
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03375562593765626,0.021501819384717166
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.00404,0.0,0.00425,0.0,0.00396,0.0,0.00439,0.043,0.024,0.0,0.0
0.15189,0.19907,0.14931,0.19963999999999998,0.13908,0.17217,0.13352,0.1735,0.225,0.171,0.019336556092682106,0.014885874958650347
0.37679,0.38639,0.36146,0.38699,0.35296,0.32062999999999997,0.32908,0.32606,0.368,0.333,0.17086181030171677,0.17201455507773733
0.51564,0.52373,0.51888,0.51778,0.49113999999999997,0.43777999999999995,0.47334,0.44043,0.443,0.479,0.35614269044840763,0.3126033741316573
0.37191,0.6018,0.20358,0.6053999999999999,0.57177,0.49929,0.55077,0.49841,0.481,0.538,0.4524920820136686,0.42507442937479323
0.63334,0.60004,0.6294099999999999,0.60141,0.60142,0.5192,0.57784,0.50222,0.398,0.535,0.31330221703617234,0.42672841548130996
0.60487,0.54977,0.60025,0.54439,0.5692999999999999,0.47264999999999996,0.56074,0.46079000000000003,0.312,0.465,0.4902483747291209,0.4184584849487264
0.5142599999999999,0.41670999999999997,0.49274,0.39285000000000003,0.4735,0.35329,0.45698,0.33867,0.097,0.312,0.38231371895315824,0.3126033741316573
0.31683999999999996,0.18503999999999998,0.27287,0.18005000000000002,0.30895,0.13421,0.26852,0.12648,0.021,0.083,0.22562093682280338,0.17201455507773733
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05367561260210031,0.021501819384717166
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
