time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20231030:2309,0.0,0.0,0.0,16.18,1.24,0.0,0.0
20231031:0009,0.0,0.0,0.0,16.32,1.03,0.0,0.0
20231031:0109,0.0,0.0,0.0,15.87,0.83,0.0,0.0
20231031:0209,0.0,0.0,0.0,15.36,0.9,0.0,0.0
20231031:0309,0.0,0.0,0.0,14.46,1.17,0.0,0.0
20231031:0409,0.0,0.0,0.0,13.77,1.38,0.0,0.0
20231031:0509,0.0,0.0,0.0,13.99,1.31,0.0,0.0
20231031:0609,0.0,0.0,0.0,14.63,1.1,0.0,0.0
20231031:0709,14.72,29.82,6.24,13.64,1.79,0.0,0.01472
20231031:0809,66.35,92.08,16.83,14.82,2.14,0.0,0.06634999999999999
20231031:0909,165.45,204.93,26.16,17.48,2.9,0.0,0.16544999999999999
20231031:1009,359.6,425.93,33.51,18.1,2.62,0.0,0.35960000000000003
20231031:1109,351.07,418.4,38.01,18.68,2.48,0.0,0.35107
20231031:1209,245.11,297.79,38.87,19.02,2.34,0.0,0.24511000000000002
20231031:1309,122.24,158.21,35.92,19.37,2.34,0.0,0.12224
20231031:1409,181.63,225.51,29.73,19.55,2.55,0.0,0.18162999999999999
20231031:1509,31.11,51.44,21.18,19.42,2.69,0.0,0.03111
20231031:1609,57.96,84.71,11.08,18.97,2.55,0.0,0.05796
20231031:1709,0.0,0.0,0.0,18.43,2.41,0.0,0.0
20231031:1809,0.0,0.0,0.0,18.0,2.14,0.0,0.0
20231031:1909,0.0,0.0,0.0,15.5,1.52,0.0,0.0
20231031:2009,0.0,0.0,0.0,15.3,1.17,0.0,0.0
20231031:2109,0.0,0.0,0.0,14.91,0.97,0.0,0.0
20231031:2209,0.0,0.0,0.0,14.84,0.9,0.0,0.0
20231031:2309,0.0,0.0,0.0,14.9,0.34,0.0,0.0
20231101:0009,0.0,0.0,0.0,14.86,0.76,0.0,0.0
20231101:0109,0.0,0.0,0.0,14.74,1.24,0.0,0.0
20231101:0209,0.0,0.0,0.0,14.66,1.45,0.0,0.0
20231101:0309,0.0,0.0,0.0,14.42,1.72,0.0,0.0
20231101:0409,0.0,0.0,0.0,13.86,1.79,0.0,0.0
20231101:0509,0.0,0.0,0.0,13.46,1.86,0.0,0.0
20231101:0609,0.0,0.0,0.0,13.07,1.72,0.0,0.0
20231101:0709,75.61,112.21,6.03,12.99,1.79,0.0,0.07561
20231101:0809,318.98,380.38,16.6,14.67,1.72,0.0,0.31898000000000004
20231101:0909,500.19,591.0,25.89,17.67,2.34,0.0,0.50019
20231101:1009,638.54,762.15,33.22,19.4,3.1,0.0,0.63854
20231101:1109,710.24,855.37,37.69,20.52,3.59,0.0,0.71024
20231101:1209,742.42,898.39,38.55,21.3,3.86,0.0,0.74242
20231101:1309,670.74,806.38,35.61,21.94,4.07,0.0,0.67074
20231101:1409,474.85,564.94,29.45,22.19,4.41,0.0,0.47485000000000005
20231101:1509,386.59,463.94,20.93,21.97,4.34,0.0,0.38659
20231101:1609,189.74,250.61,10.86,21.41,3.93,0.0,0.18974000000000002
20231101:1709,0.0,0.0,0.0,20.54,3.17,0.0,0.0
20231101:1809,0.0,0.0,0.0,19.8,2.69,0.0,0.0
20231101:1909,0.0,0.0,0.0,19.38,2.62,0.0,0.0
20231101:2009,0.0,0.0,0.0,18.43,2.48,0.0,0.0
20231101:2109,0.0,0.0,0.0,17.8,2.48,0.0,0.0
20231101:2209,0.0,0.0,0.0,17.16,2.62,0.0,0.0
20231101:2309,0.0,0.0,0.0,16.62,2.9,0.0,0.0
