time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20230115:1630,15.92,31.67,7.16,18.75,2.07,0.0,0.01592
20230115:1730,0.0,0.0,-3.35,17.84,1.17,0.0,0.0
20230115:1830,0.0,0.0,0.0,16.72,0.69,0.0,0.0
20230115:1930,0.0,0.0,0.0,15.22,1.66,0.0,0.0
20230115:2030,0.0,0.0,0.0,14.03,1.86,0.0,0.0
20230115:2130,0.0,0.0,0.0,13.01,2.07,0.0,0.0
20230115:2230,0.0,0.0,0.0,12.01,2.21,0.0,0.0
20230115:2330,0.0,0.0,0.0,11.21,2.28,0.0,0.0
20230116:0030,0.0,0.0,0.0,10.56,2.28,0.0,0.0
20230116:0130,0.0,0.0,0.0,9.91,2.34,0.0,0.0
20230116:0230,0.0,0.0,0.0,9.39,2.34,0.0,0.0
20230116:0330,0.0,0.0,0.0,8.83,2.28,0.0,0.0
20230116:0430,0.0,0.0,0.0,8.19,2.21,0.0,0.0
20230116:0530,0.0,0.0,0.0,7.74,2.21,0.0,0.0
20230116:0630,0.0,0.0,0.0,7.45,2.14,0.0,0.0
20230116:0730,2.35,10.58,0.67,7.69,2.21,0.0,0.00235
20230116:0830,241.54,286.51,10.84,7.54,2.21,0.0,0.24154
20230116:0930,422.36,482.03,19.7,9.99,2.14,0.0,0.42236
20230116:1030,600.76,702.16,26.64,13.74,2.0,0.0,0.60076
20230116:1130,671.87,796.96,30.96,15.77,2.28,0.0,0.67187
20230116:1230,641.39,753.59,32.07,16.91,3.31,0.0,0.64139
20230116:1330,619.42,723.83,29.77,17.49,4.14,0.0,0.61942
20230116:1430,526.49,611.94,24.43,17.84,4.69,0.0,0.52649
20230116:1530,356.17,420.67,16.73,17.79,4.83,0.0,0.35617000000000004
20230116:1630,16.71,32.52,7.35,17.25,4.69,0.0,0.01671
20230116:1730,0.0,0.0,-3.17,16.35,4.07,0.0,0.0
20230116:1830,0.0,0.0,0.0,15.27,4.14,0.0,0.0
20230116:1930,0.0,0.0,0.0,14.67,4.48,0.0,0.0
20230116:2030,0.0,0.0,0.0,13.72,4.97,0.0,0.0
20230116:2130,0.0,0.0,0.0,13.04,5.31,0.0,0.0
20230116:2230,0.0,0.0,0.0,12.51,5.45,0.0,0.0
20230116:2330,0.0,0.0,0.0,12.13,5.66,0.0,0.0
20230117:0030,0.0,0.0,0.0,11.98,5.72,0.0,0.0
20230117:0130,0.0,0.0,0.0,11.97,5.79,0.0,0.0
