time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20200113:2310,0.0,0.0,0.0,0.66,0.41,0.0,0.0
20200114:0010,0.0,0.0,0.0,0.55,0.34,0.0,0.0
20200114:0110,0.0,0.0,0.0,0.55,0.34,0.0,0.0
20200114:0210,0.0,0.0,0.0,0.61,0.34,0.0,0.0
20200114:0310,0.0,0.0,0.0,0.63,0.41,0.0,0.0
20200114:0410,0.0,0.0,0.0,0.6,0.34,0.0,0.0
20200114:0510,0.0,0.0,0.0,0.58,0.28,0.0,0.0
20200114:0610,0.0,0.0,0.0,0.6,0.41,0.0,0.0
20200114:0710,0.0,0.0,0.0,0.1,0.48,0.0,0.0
20200114:0810,122.16,164.61,8.56,0.12,0.48,0.0,0.12215999999999999
20200114:0910,326.43,381.8,15.6,1.39,0.34,0.0,0.32643
20200114:1010,448.3,523.83,20.69,2.94,0.07,0.0,0.44830000000000003
20200114:1110,556.96,664.58,23.32,3.7,0.07,0.0,0.55696
20200114:1210,584.81,702.22,23.21,4.58,0.28,0.0,0.5848099999999999
20200114:1310,548.58,652.22,20.36,4.69,0.34,0.0,0.5485800000000001
20200114:1410,486.73,571.45,15.09,4.38,0.28,0.0,0.48673
20200114:1510,302.76,351.11,7.91,3.99,0.41,0.0,0.30276
20200114:1610,0.0,0.0,0.0,3.2,0.41,0.0,0.0
20200114:1710,0.0,0.0,0.0,2.62,0.55,0.0,0.0
20200114:1810,0.0,0.0,0.0,2.32,0.69,0.0,0.0
20200114:1910,0.0,0.0,0.0,2.39,0.48,0.0,0.0
20200114:2010,0.0,0.0,0.0,2.1,0.55,0.0,0.0
20200114:2110,0.0,0.0,0.0,1.65,0.69,0.0,0.0
20200114:2210,0.0,0.0,0.0,1.47,0.69,0.0,0.0
20200114:2310,0.0,0.0,0.0,1.19,0.76,0.0,0.0
20200115:0010,0.0,0.0,0.0,1.08,0.76,0.0,0.0
20200115:0110,0.0,0.0,0.0,1.08,0.76,0.0,0.0
20200115:0210,0.0,0.0,0.0,0.89,0.83,0.0,0.0
20200115:0310,0.0,0.0,0.0,0.81,0.9,0.0,0.0
20200115:0410,0.0,0.0,0.0,1.03,0.83,0.0,0.0
20200115:0510,0.0,0.0,0.0,1.15,0.76,0.0,0.0
20200115:0610,0.0,0.0,0.0,1.08,0.83,0.0,0.0
20200115:0710,0.0,0.0,0.0,0.55,0.69,0.0,0.0
20200115:0810,62.04,86.7,8.66,0.67,0.69,0.0,0.06204
20200115:0910,84.49,108.16,15.73,1.92,0.48,0.0,0.08449
20200115:1010,186.17,218.77,20.84,2.94,0.41,0.0,0.18616999999999997
20200115:1110,525.96,622.16,23.5,3.8,0.21,0.0,0.52596
20200115:1210,597.29,720.66,23.4,4.01,0.07,0.0,0.59729
20200115:1310,570.26,684.0,20.55,4.32,0.07,0.0,0.57026
20200115:1410,303.92,351.0,15.29,4.29,0.0,0.0,0.30392
20200115:1510,260.43,303.22,8.1,4.04,0.07,0.0,0.26043
20200115:1610,0.0,0.0,0.0,3.46,0.28,0.0,0.0
20200115:1710,0.0,0.0,0.0,3.0,0.48,0.0,0.0
20200115:1810,0.0,0.0,0.0,1.86,0.9,0.0,0.0
20200115:1910,0.0,0.0,0.0,2.83,0.69,0.0,0.0
20200115:2010,0.0,0.0,0.0,2.13,0.83,0.0,0.0
20200115:2110,0.0,0.0,0.0,1.52,0.97,0.0,0.0
20200115:2210,0.0,0.0,0.0,1.51,0.9,0.0,0.0
20200115:2310,0.0,0.0,0.0,1.45,0.9,0.0,0.0
20200116:0010,0.0,0.0,0.0,1.22,0.9,0.0,0.0
20200116:0110,0.0,0.0,0.0,0.87,0.97,0.0,0.0
20200116:0210,0.0,0.0,0.0,0.46,1.03,0.0,0.0
20200116:0310,0.0,0.0,0.0,0.27,0.97,0.0,0.0
20200116:0410,0.0,0.0,0.0,0.44,0.76,0.0,0.0
20200116:0510,0.0,0.0,0.0,0.51,0.69,0.0,0.0
20200116:0610,0.0,0.0,0.0,0.44,0.69,0.0,0.0
20200116:0710,0.0,0.0,0.0,0.13,1.1,0.0,0.0
20200116:0810,153.84,208.2,8.77,0.34,0.9,0.0,0.15384
20200116:0910,349.63,410.61,15.86,2.12,0.48,0.0,0.34963
20200116:1010,478.66,567.47,20.99,4.71,0.07,0.0,0.47866000000000003
20200116:1110,566.14,682.66,23.67,6.44,0.41,0.0,0.56614
20200116:1210,585.54,710.55,23.59,7.37,0.55,0.0,0.58554
20200116:1310,568.48,686.34,20.75,7.58,0.62,0.0,0.56848
20200116:1410,485.36,577.81,15.49,7.65,0.48,0.0,0.48536
20200116:1510,332.45,392.21,8.3,7.26,0.28,0.0,0.33244999999999997
20200116:1610,0.0,0.0,0.0,6.55,0.21,0.0,0.0
20200116:1710,0.0,0.0,0.0,5.53,0.83,0.0,0.0
20200116:1810,0.0,0.0,0.0,3.87,1.24,0.0,0.0
20200116:1910,0.0,0.0,0.0,2.66,1.1,0.0,0.0
20200116:2010,0.0,0.0,0.0,1.91,1.31,0.0,0.0
20200116:2110,0.0,0.0,0.0,1.2,1.45,0.0,0.0
20200116:2210,0.0,0.0,0.0,0.59,1.52,0.0,0.0
20200116:2310,0.0,0.0,0.0,0.0,1.59,0.0,0.0
20200117:0010,0.0,0.0,0.0,-0.14,1.52,0.0,0.0
